年	2852
紀	1502
王	1174
十	1010
之	985
書	897
二	852
一	753
云	731
本	730
為	721
公	721
三	663
注	603
卷	578
作	562
於	556
記	553
案	538
曰	520
子	519
史	508
文	504
引	498
竹	490
校	470
所	464
此	457
以	452
四	425
五	416
六	397
水	396
存	381
真	372
八	365
輯	364
七	355
晉	352
世	345
惠	334
侯	329
是	324
九	319
經	319
後	315
不	306
有	302
即	299
魏	294
見	284
于	284
國	273
當	269
與	269
也	265
家	263
隱	263
太	262
據	260
其	259
補	249
而	247
傳	242
周	242
成	242
平	235
索	230
列	224
秦	222
字	221
亦	219
御	216
大	215
訂	212
元	210
今	206
覽	205
韓	205
梁	201
齊	198
氏	197
甲	195
又	193
伐	192
汲	190
立	190
誤	188
皆	188
人	181
趙	181
同	180
者	176
在	176
古	175
證	174
名	172
下	168
帝	167
無	165
出	164
條	164
事	163
夷	158
西	157
說	156
集	153
田	152
改	147
武	145
陽	138
考	138
非	137
謂	135
山	134
鄭	134
位	132
則	130
部	129
及	128
地	127
伯	127
燕	126
正	124
義	124
卒	124
河	122
自	121
居	120
錄	120
學	119
上	118
天	118
宋	116
冢	115
疑	115
師	115
春	115
君	114
殷	114
至	113
附	112
城	111
南	110
漢	109
東	109
乃	108
志	106
或	105
烈	105
楚	104
雷	102
通	101
桓	99
征	97
繫	97
路	96
戰	95
穆	95
相	94
可	93
從	93
秋	91
稱	91
解	90
語	90
明	88
丁	88
昭	87
諸	87
敬	87
未	85
淇	85
時	85
表	83
蓋	82
會	82
中	82
外	81
北	81
宣	80
故	79
伊	76
殺	74
后	74
命	74
圍	74
異	73
按	73
陵	73
敗	73
夏	72
郡	70
月	70
仲	70
戴	70
將	69
皇	68
合	68
陳	67
孫	67
朱	66
釋	66
衛	66
左	66
逢	66
原	65
桀	65
幽	64
策	63
刻	63
百	63
臣	62
得	62
入	62
日	62
取	61
里	61
金	60
言	59
越	59
海	58
襄	58
已	58
尹	58
紀年	58
前	57
樂	56
次	56
並	55
似	55
典	55
和	55
來	54
如	54
多	54
丘	54
應	54
黃	54
莊	54
馬	54
遷	53
頁	53
澤	53
徐	53
序	51
戎	51
祖	51
瓚	50
代	50
哀	50
邑	50
高	50
現	50
滅	50
我	50
廣	50
死	50
州	50
啟	49
因	49
行	49
指	48
知	48
尚	48
長	48
近	47
鑑	47
訛	47
然	47
威	47
辭	46
始	46
獻	46
共	46
發	45
林	44
遂	44
懿	44
桂	44
康	43
用	43
初	43
禹	42
理	42
庚	42
救	42
攻	41
實	41
夫	41
詳	41
使	41
方	40
玉	40
鄲	40
賓	39
何	39
邯	39
都	38
商	38
宮	38
骨	37
生	37
紂	37
收	36
篇	36
朝	36
舉	36
若	36
皙	35
孝	35
鮑	35
縣	35
衡	35
湯	35
女	35
乙	35
壬	35
永	35
束	34
張	34
鈔	34
矣	34
羌	34
定	34
華	34
震	34
載	33
起	33
萬	33
劉	33
洛	33
兵	33
期	33
脫	33
清	33
軍	33
姑	32
荀	32
疾	32
兩	31
役	31
先	31
唐	31
放	31
父	31
丹	31
季	31
奔	31
虢	31
影	30
類	30
屬	30
受	30
呂	30
濟	30
簡	30
洪	30
悼	30
失	29
孟	29
既	29
更	29
道	29
歲	29
分	29
寰	29
忌	29
歷	28
必	28
杜	28
堯	28
舜	28
京	28
第	28
去	28
宇	28
顯	28
景	27
卜	27
郭	27
風	27
封	27
善	27
龍	27
等	26
間	26
荒	26
安	26
處	26
玄	26
選	26
復	26
母	26
翟	25
疏	25
魯	25
易	25
陟	25
謀	25
銘	25
舞	24
括	24
推	24
服	24
意	24
甚	24
獲	24
刪	24
己	24
論	24
仍	24
內	24
寅	24
盤	24
向	24
算	24
完	24
干	23
觀	23
音	23
編	23
且	23
門	23
詩	23
辛	23
反	22
壽	22
章	22
喜	22
僖	22
白	22
余	22
占	22
丙	22
號	22
降	22
賦	22
咎	22
戊	22
靈	22
開	21
吳	21
歸	21
曾	21
淮	21
青	21
鳥	21
徵	21
司	21
舊	21
沃	21
牧	21
江	21
雨	21
僅	20
益	20
思	20
孔	20
焉	20
堂	20
系	20
克	20
勝	20
士	20
揮	20
句	20
耳	20
厲	20
曲	20
鄙	20
濁	20
雜	19
畎	19
信	19
琰	19
末	19
能	19
瑤	19
形	19
桐	19
雍	19
申	19
弒	19
劭	19
樗	19
叔	18
民	18
全	18
再	18
小	18
利	18
芮	18
化	17
崩	17
吾	17
姓	17
夢	17
著	17
岷	17
琬	17
亳	17
守	17
絕	17
首	17
留	17
牟	17
蒲	17
右	16
令	16
奪	16
賜	16
宅	16
亡	16
