Word	Count	Emotions
door	190	
sheep	188	
twelve	188	
within	186	
broken	186	anger, fear, negative, sadness
third	185	
bare	185	
hold	185	
returned	184	
slain	183	
whosoever	182	
beast	181	anger, fear, negative
women	181	
cry	181	negative, sadness
second	179	
river	179	
began	179	
country	179	
wall	179	
elders	179	positive, trust
mountains	178	
number	178	
master	178	positive
stones	178	
ephraim	177	
commandment	177	
receive	176	
reigned	176	
throne	176	positive, trust
kept	175	
body	175	
paul	175	
thirty	174	
families	174	
far	173	
arose	173	
sins	173	
knowledge	172	positive
whether	171	
commandments	171	
grace	170	positive
battle	170	anger, negative
moreover	170	
till	169	
knew	169	
built	169	
moab	168	
reign	168	
wherein	167	
destroyed	167	anger, fear, negative, sadness
could	166	
benjamin	166	
gather	165	
joy	165	joy, positive
salvation	164	anticipation, joy, positive, trust
peter	164	
build	163	positive
darkness	162	anger, fear, negative, sadness
here	162	
throughout	162	
passed	161	
able	160	
sun	160	anticipation, joy, positive, surprise, trust
received	160	positive
understanding	160	positive, trust
filled	159	
lo	159	
born	158	
border	158	
lifted	158	
east	157	
trees	157	
forty	157	
fifty	157	
beasts	156	
look	156	
find	156	
lie	155	anger, disgust, negative, sadness
back	154	
vessels	154	
cattle	153	
hearken	153	
zion	153	
whatsoever	152	
ears	151	
new	151	
heathen	150	fear, negative
enter	149	
arise	149	
jeremiah	149	
remember	148	
desolate	148	
living	147	
fled	146	fear
manasseh	146	
thence	145	
sake	145	
nation	145	trust
times	145	
carried	145	
honour	145	
gates	144	
samuel	144	
joab	144	
looked	143	
offered	143	
south	143	
believe	143	
counsel	143	positive, trust
rise	142	
wood	140	
money	140	anger, anticipation, joy, positive, surprise, trust
break	140	surprise
verily	140	positive, trust
valley	139	
captain	139	positive
burn	138	
john	138	disgust, negative
opened	137	
sanctuary	137	anticipation, joy, positive, trust
mountain	136	anticipation
half	136	
houses	136	
camp	136	
sabbath	136	
goeth	135	
become	135	
most	135	
shewed	135	
witness	135	trust
neighbour	134	
trust	134	trust
heavens	133	joy, positive, trust
wives	133	
clean	133	joy, positive, trust
meet	132	
must	132	
isaac	132	
beside	132	
statutes	132	
north	132	
service	132	
rose	131	
stranger	131	fear, negative
answer	131	
fat	130	disgust, negative, sadness
hid	129	
gentiles	129	
tongue	129	
incense	129	anger, negative
hope	129	anticipation, joy, positive, surprise, trust
numbered	128	
hezekiah	128	
wickedness	127	disgust, negative
bless	127	anticipation, joy, positive, trust
judgments	127	
captivity	127	negative, sadness
help	126	
husband	126	
brass	126	
appointed	126	
sought	126	
giveth	126	
maketh	126	
kill	125	fear, negative, sadness
smite	125	anger, fear, negative, sadness
depart	125	anticipation, sadness
open	124	
whither	124	
samaria	124	
wind	123	
feast	123	
chosen	123	positive
family	123	
ashamed	122	disgust, negative, sadness
walked	122	
didst	122	
court	122	anger, anticipation, fear
pieces	121	
jonathan	121	
seventh	120	
perish	120	fear, negative, sadness
ear	120	
asked	119	
lips	119	
sinned	119	
captains	119	
sing	119	anticipation, joy, positive, sadness, trust
rock	119	positive
generations	118	
assyria	118	
myself	118	
get	118	
spoil	118	disgust, negative
slay	117	anger, negative
better	117	
presence	116	positive
sister	116	
seeing	116	
believed	116	trust
eye	116	
leave	115	negative, sadness, surprise
suburbs	115	
mayest	114	
lot	113	
hearts	113	
fine	113	
firstborn	113	anticipation, joy, positive, trust
sit	113	
tribes	113	
chariots	113	
beloved	113	
vain	112	
desire	111	
flock	111	
horses	111	
heads	110	
wherewith	110	
enemy	110	anger, disgust, fear, negative
trouble	110	
spread	109	
ghost	109	fear
ask	109	
prayer	109	
dust	108	negative
alone	108	
sweet	108	anticipation, joy, positive, surprise, trust
worship	108	anticipation, fear, joy, positive, trust
followed	108	
teach	108	joy, positive, surprise, trust
gospel	108	positive, trust
generation	107	
entered	107	
cloud	107	
lamb	107	joy, positive, trust
fight	107	anger, fear, negative
likewise	107	
absalom	107	
beginning	106	
became	106	
buried	106	fear, negative, sadness
possess	106	anticipation, joy, positive, trust
present	106	anticipation, joy, positive, surprise, trust
wait	106	anticipation, negative
bullock	106	
woe	106	disgust, fear, negative, sadness
eaten	105	
shut	105	
covered	105	
flee	105	fear, negative
prince	105	positive
lift	104	
possession	104	anger, disgust, fear, negative
command	104	
bound	104	negative
knoweth	104	
linen	104	
saved	104	
jeroboam	104	
garments	103	
rain	102	
oxen	102	
morrow	102	anticipation
charge	102	
corn	102	
lion	102	fear, positive
image	101	
iron	101	positive, trust
curse	101	anger, disgust, fear, negative, sadness
still	101	
prepared	101	anticipation, positive, trust
gilead	101	
clothes	101	
utterly	101	
idols	101	
bow	100	
portion	100	
ready	100	anticipation
coming	100	anticipation
wrought	100	negative
nigh	100	
minister	100	
shame	100	disgust, fear, negative, sadness
bones	99	
perfect	99	anticipation, joy, positive, trust
tent	98	
egyptians	98	
ram	98	anger, anticipation, negative
sore	98	anger, negative, sadness
loved	98	
esau	98	
riches	98	
burned	98	
plague	98	disgust, fear, negative, sadness
anointed	98	
names	97	
everlasting	97	positive
small	97	negative
ought	97	
goats	97	
pure	97	
liveth	96	
famine	96	negative, sadness
consumed	96	
shekels	96	
doeth	96	
suffer	96	negative
nevertheless	96	
saints	96	
foot	95	
thither	95	
mind	95	
declare	95	
caused	94	
just	94	
angels	94	
stead	94	
destruction	94	anger, negative
ahab	94	
hour	94	
threescore	93	
going	92	
committed	92	positive, trust
remnant	92	
removed	91	
canaan	91	
top	91	anticipation, positive, trust
understand	91	
ammon	91	
bed	91	
write	91	
ass	90	negative
carry	90	
prison	90	anger, fear, negative, sadness
prophesy	90	
breadth	89	
wash	89	
knowest	89	
labour	89	
glad	89	anticipation, joy, positive
pillars	89	
sound	89	
alive	88	anticipation, joy, positive, trust
reproach	88	anger, disgust, negative, sadness
pit	88	
increase	88	positive
sick	88	disgust, negative, sadness
noise	88	negative
greatly	87	
hate	87	anger, disgust, fear, negative, sadness
pharisees	87	
fourth	86	
garment	86	
early	86	
follow	86	
edom	86	
company	86	
never	86	
ruler	86	
rod	86	fear, positive, trust
vanity	86	negative
drew	85	
fast	85	
last	85	
raised	85	
poured	84	
jehoshaphat	84	
daniel	84	
sleep	82	
pitched	82	
hide	82	fear
abide	82	
fulfilled	82	
sold	82	
army	82	
trespass	82	anger, negative
blind	82	
faithful	82	positive, trust
hearkened	81	
continually	81	
tenth	81	
rich	81	
thought	81	anticipation
lambs	81	
feed	81	
true	81	joy, positive, trust
prepare	81	anticipation, positive
atonement	81	positive
taught	81	trust
eight	80	
abroad	80	
flocks	80	
reward	80	anticipation, joy, positive, surprise, trust
matter	80	
strangers	80	
heed	80	
fallen	79	
vision	79	anticipation, positive
healed	79	
messengers	79	
remain	79	
sacrifices	79	disgust, fear, negative, sadness
bringeth	79	
souls	78	
bowed	78	
sware	78	
rulers	78	
amen	78	joy, positive, trust
greater	77	positive
length	77	
rams	77	
ones	77	
rivers	77	
hill	77	
skin	77	
church	77	anticipation, joy, positive, trust
draw	76	
precious	76	anticipation, joy, positive, surprise
strange	76	
abomination	76	anger, disgust, fear, negative
sign	76	
passover	76	
testimony	76	trust
wings	76	
abominations	76	
forsaken	76	anger, negative, sadness
moved	75	
plain	75	
affliction	75	disgust, fear, negative, sadness
white	75	
branches	75	
villages	75	
commit	75	
syria	75	
selah	75	
simon	75	
established	74	joy, positive
served	74	
behind	74	
feared	74	
dream	74	
reuben	74	
except	74	
speaketh	74	
eleazar	74	
taketh	74	
shouldest	73	
clothed	73	
faces	73	
hebron	73	
amorites	73	
shadow	73	
prey	73	fear, negative
brake	73	
table	73	
thanks	73	
whereof	72	
cursed	72	anger, fear, negative, sadness
whence	72	
dan	72	
levi	72	
gad	72	
aside	72	
cover	72	trust
galilee	72	
fool	72	disgust, negative
dry	71	
scattered	71	
wept	71	
stretched	71	
womb	71	positive
images	71	
defiled	71	
reason	71	positive
run	71	
devour	71	negative
lebanon	71	
doors	71	
ship	71	anticipation
sorrow	70	fear, negative, sadness
youth	70	anger, anticipation, fear, joy, positive, surprise
cease	70	
appeared	70	
indeed	70	
favour	70	
worshipped	70	
fury	70	anger, fear, negative, sadness
since	70	
sanctify	70	anticipation, joy, positive, sadness, surprise, trust
read	70	
divided	69	
vineyard	69	
west	69	
obey	69	fear, trust
abode	69	
burden	69	
measure	69	trust
elijah	69	
others	69	
led	68	
worthy	68	positive, trust
troubled	68	
grave	68	fear, negative, sadness
upright	68	positive, trust
cup	68	
secret	68	trust
abundance	68	anticipation, disgust, joy, negative, positive, trust
scribes	68	
blessing	67	anticipation, joy, positive, trust
hither	67	
horns	67	
killed	67	
beseech	67	
arm	67	
consider	67	
acts	67	
rule	66	fear, trust
wast	66	
tents	66	
comfort	66	anticipation, joy, positive, trust
afterward	66	
bethel	66	
golden	66	
kindled	66	
thereon	66	
rent	66	
crown	66	
walls	66	
chambers	66	
chaldeans	66	
deep	65	
cherubims	65	
hills	65	
soon	65	
abimelech	65	
prayed	65	
few	65	
loveth	65	
think	65	
streets	65	
asses	64	
shechem	64	
